date,day_of_week,month,is_weekend,is_holiday,total_deposits,n_deposits,total_purchases,n_purchases,bills_amount,bills_due,net_flow,running_balance
2023-09-13,3,9,0,0,9181,1,0,0,0,0,9181,24181
2023-09-14,4,9,0,0,6821,1,0,0,0,0,6821,31002
2023-09-15,5,9,0,0,7957,1,0,0,6617.73,1,1339.27,32341.27
2023-09-16,6,9,1,1,5835,1,4653,1,0,0,1182,33523.27
2023-09-17,0,9,1,0,3811,1,0,0,0,0,3811,37334.27
2023-09-18,1,9,0,0,7468,1,5460,1,0,0,2008,39342.27
2023-09-19,2,9,0,0,4193,1,0,0,0,0,4193,43535.27
2023-09-20,3,9,0,0,3682,1,0,0,1094.01,1,2587.99,46123.26
2023-09-21,4,9,0,0,11077,1,0,0,0,0,11077,57200.26
2023-09-22,5,9,0,0,12051,1,5832,1,0,0,6219,63419.26
2023-09-23,6,9,1,0,10956,1,0,0,0,0,10956,74375.26
2023-09-24,0,9,1,0,3069,1,0,0,0,0,3069,77444.26
2023-09-25,1,9,0,0,8387,1,0,0,0,0,8387,85831.26
2023-09-26,2,9,0,0,4508,1,0,0,0,0,4508,90339.26
2023-09-27,3,9,0,0,3823,1,0,0,0,0,3823,94162.26
2023-09-28,4,9,0,0,4837,1,3881,1,0,0,956,95118.26
2023-09-29,5,9,0,0,10656,1,0,0,0,0,10656,105774.26
2023-09-30,6,9,1,0,11795,1,7972,1,6936.54,1,-3113.54,102660.72
2023-10-01,0,10,1,0,7581,1,0,0,5875.28,1,1705.72,104366.44
2023-10-02,1,10,0,0,6059,1,4781,1,0,0,1278,105644.44
2023-10-03,2,10,0,0,3996,1,0,0,0,0,3996,109640.44
2023-10-04,3,10,0,0,6946,1,6521,1,0,0,425,110065.44
2023-10-05,4,10,0,0,7470,1,0,0,0,0,7470,117535.44
2023-10-06,5,10,0,0,10134,1,7902,1,0,0,2232,119767.44
2023-10-07,6,10,1,0,12025,1,0,0,0,0,12025,131792.44
2023-10-08,0,10,1,0,5096,1,0,0,0,0,5096,136888.44
2023-10-09,1,10,0,0,7403,1,4987,1,0,0,2416,139304.44
2023-10-10,2,10,0,0,5658,1,0,0,0,0,5658,144962.44
2023-10-11,3,10,0,0,4918,1,6177,1,0,0,-1259,143703.44
2023-10-12,4,10,0,0,4544,1,0,0,0,0,4544,148247.44
2023-10-13,5,10,0,0,7824,1,3195,1,0,0,4629,152876.44
2023-10-14,6,10,1,0,5021,1,0,0,0,0,5021,157897.44
2023-10-15,0,10,1,0,7441,1,5029,1,5596.58,1,-3184.58,154712.86
2023-10-16,1,10,0,0,7014,1,0,0,0,0,7014,161726.86
2023-10-17,2,10,0,0,7634,1,6536,1,0,0,1098,162824.86
2023-10-18,3,10,0,0,8103,1,0,0,0,0,8103,170927.86
2023-10-19,4,10,0,0,10703,1,0,0,0,0,10703,181630.86
2023-10-20,5,10,0,0,9890,1,4115,1,1292.53,1,4482.47,186113.33
2023-10-21,6,10,1,0,7143,1,0,0,0,0,7143,193256.33
2023-10-22,0,10,1,0,6300,1,7982,1,0,0,-1682,191574.33
2023-10-23,1,10,0,0,8261,1,0,0,0,0,8261,199835.33
2023-10-24,2,10,0,0,3257,1,0,0,0,0,3257,203092.33
2023-10-25,3,10,0,0,10308,1,3587,1,0,0,6721,209813.33
2023-10-26,4,10,0,0,5605,1,0,0,0,0,5605,215418.33
2023-10-27,5,10,0,0,6199,1,0,0,0,0,6199,221617.33
2023-10-28,6,10,1,0,8086,1,6343,1,0,0,1743,223360.33
2023-10-29,0,10,1,0,6489,1,0,0,0,0,6489,229849.33
2023-10-30,1,10,0,0,5970,1,5629,1,0,0,341,230190.33
2023-10-31,2,10,0,0,6703,1,0,0,4973.55,1,1729.45,231919.78
2023-11-01,3,11,0,0,8618,1,0,0,5911.75,1,2706.25,234626.03
2023-11-02,4,11,0,1,8618,1,7559,1,0,0,1059,235685.03
2023-11-03,5,11,0,0,13251,1,0,0,0,0,13251,248936.03
2023-11-04,6,11,1,0,10830,1,4716,1,0,0,6114,255050.03
2023-11-05,0,11,1,0,7501,1,0,0,0,0,7501,262551.03
2023-11-06,1,11,0,0,6947,1,5500,1,0,0,1447,263998.03
2023-11-07,2,11,0,0,3612,1,0,0,0,0,3612,267610.03
2023-11-08,3,11,0,0,3525,1,3493,1,0,0,32,267642.03
2023-11-09,4,11,0,0,6296,1,0,0,0,0,6296,273938.03
2023-11-10,5,11,0,0,13111,1,5321,1,0,0,7790,281728.03
2023-11-11,6,11,1,0,5604,1,0,0,0,0,5604,287332.03
2023-11-12,0,11,1,0,5697,1,5888,1,0,0,-191,287141.03
2023-11-13,1,11,0,0,3321,1,0,0,0,0,3321,290462.03
2023-11-14,2,11,0,0,9715,1,6582,1,0,0,3133,293595.03
2023-11-15,3,11,0,0,4637,1,0,0,4652.77,1,-15.77,293579.26
2023-11-16,4,11,0,0,6737,1,3811,1,0,0,2926,296505.26
2023-11-17,5,11,0,0,5127,1,0,0,0,0,5127,301632.26
2023-11-18,6,11,1,0,10172,1,3174,1,0,0,6998,308630.26
2023-11-19,0,11,1,0,6052,1,0,0,0,0,6052,314682.26
2023-11-20,1,11,0,1,3897,1,0,0,1340.94,1,2556.06,317238.32
2023-11-21,2,11,0,0,6071,1,7051,1,0,0,-980,316258.32
2023-11-22,3,11,0,0,5128,1,0,0,0,0,5128,321386.32
2023-11-23,4,11,0,0,10340,1,5255,1,0,0,5085,326471.32
2023-11-24,5,11,0,0,9341,1,0,0,0,0,9341,335812.32
2023-11-25,6,11,1,0,13726,1,0,0,0,0,13726,349538.32
2023-11-26,0,11,1,0,6922,1,4071,1,0,0,2851,352389.32
2023-11-27,1,11,0,0,4902,1,0,0,0,0,4902,357291.32
2023-11-28,2,11,0,0,6848,1,3494,1,0,0,3354,360645.32
2023-11-29,3,11,0,0,6127,1,0,0,0,0,6127,366772.32
2023-11-30,4,11,0,0,6730,1,0,0,4320.52,1,2409.48,369181.8
2023-12-01,5,12,0,0,10158,1,7718,1,5955.96,1,-3515.96,365665.84
2023-12-02,6,12,1,0,7542,1,0,0,0,0,7542,373207.84
